,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,26-305,1994,4,2,244,2.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.01,0.04,0.04,0.04,Matches
2,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,32-353,1988,16,16,1377,15.3,0,1,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.5,0.5,0.4,0.03,0.03,0.06,0.03,0.06,Matches
3,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,20-358,2000,1,0,10,0.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
4,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,18-354,2002,8,7,629,7.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
5,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,22-075,1998,14,7,639,7.1,1,0,0,0,2,0,0.14,0.00,0.14,0.14,0.14,1.4,1.4,0.1,0.20,0.02,0.22,0.20,0.22,Matches
6,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MF,Lazio,28-109,1992,17,3,603,6.7,0,1,0,0,7,0,0.00,0.15,0.15,0.00,0.15,0.4,0.4,0.7,0.06,0.10,0.15,0.06,0.15,Matches
7,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,28-122,1992,16,16,1281,14.2,6,0,0,0,3,0,0.42,0.00,0.42,0.42,0.42,3.0,2.8,3.8,0.21,0.27,0.47,0.20,0.46,Matches
8,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,39-062,1981,14,14,1260,14.0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.00,0.01,0.01,0.01,Matches
9,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,24-160,1996,18,18,1581,17.6,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.02,0.02,0.05,0.02,0.05,Matches
