,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,22-124,1998,2,0,18,0.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,34-197,1986,14,14,1222,13.6,1,0,0,0,5,1,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.5,0.05,0.03,0.08,0.05,0.08,Matches
3,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,30-307,1990,5,0,60,0.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
4,Ragnar Ache\Ragnar-Ache,de GER,FW,Eint Frankfurt,22-184,1998,2,0,36,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
5,Tyler Adams\Tyler-Adams,us USA,MFDF,RB Leipzig,21-349,1999,14,10,961,10.7,1,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.5,0.5,0.2,0.05,0.02,0.07,0.05,0.07,Matches
6,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,27-250,1993,9,0,154,1.7,1,2,0,0,0,0,0.58,1.17,1.75,0.58,1.75,1.1,1.1,0.4,0.63,0.21,0.83,0.63,0.83,Matches
7,Felix Agu\Felix-Agu,de GER,DFFW,Werder Bremen,21-123,1999,6,3,320,3.6,1,0,0,0,0,0,0.28,0.00,0.28,0.28,0.28,0.6,0.6,0.2,0.15,0.07,0.22,0.15,0.22,Matches
8,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,25-193,1995,16,15,1385,15.4,2,0,0,0,2,0,0.13,0.00,0.13,0.13,0.13,1.4,1.4,0.1,0.09,0.01,0.10,0.09,0.10,Matches
9,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,25-284,1995,13,11,942,10.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.00,0.04,0.04,0.00,0.04,Matches
