Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2020-09-19,18:00 (21:30),Fiorentina,1.9,1–0,0.6,Torino,,Stadio Artemio Franchi,Rosario Abisso,Match Report,
1,Sat,2020-09-19,20:45 (00:15),Hellas Verona,1.3,3–0,1.7,Roma,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Match Report,Match awarded to Hellas Verona
1,Sun,2020-09-20,12:30 (16:00),Parma,0.2,0–2,1.6,Napoli,1000,Stadio Ennio Tardini,Maurizio Mariani,Match Report,
1,Sun,2020-09-20,15:00 (18:30),Genoa,2.0,4–1,1.2,Crotone,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Match Report,
1,Sun,2020-09-20,18:00 (21:30),Sassuolo,2.3,1–1,1.0,Cagliari,850,Stadio Città del Tricolore,Livio Marinelli,Match Report,
1,Sun,2020-09-20,20:45 (00:15),Juventus,2.4,3–0,0.8,Sampdoria,1000,Allianz Stadium,Marco Piccinini,Match Report,
1,Mon,2020-09-21,20:45 (00:15),Milan,2.9,2–0,0.9,Bologna,1000,Stadio Giuseppe Meazza,Federico La Penna,Match Report,
,,,,,,,,,,,,,
2,Sat,2020-09-26,15:00 (18:30),Torino,0.7,2–4,1.6,Atalanta,1000,Stadio Olimpico di Torino,Massimiliano Irrati,Match Report,
2,Sat,2020-09-26,18:00 (21:30),Cagliari,1.0,0–2,2.1,Lazio,1000,Sardegna Arena,Davide Massa,Match Report,
2,Sat,2020-09-26,18:00 (21:30),Sampdoria,1.6,2–3,1.2,Benevento,1000,Stadio Comunale Luigi Ferraris,Federico Dionisi,Match Report,
2,Sat,2020-09-26,20:45 (00:15),Inter,2.8,4–3,2.5,Fiorentina,1000,Stadio Giuseppe Meazza,Giampaolo Calvarese,Match Report,
2,Sun,2020-09-27,12:30 (16:00),Spezia,1.1,1–4,2.8,Sassuolo,1000,Stadio Dino Manuzzi,Davide Ghersini,Match Report,
2,Sun,2020-09-27,15:00 (18:30),Hellas Verona,1.0,1–0,1.7,Udinese,1000,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Match Report,
2,Sun,2020-09-27,18:00 (21:30),Napoli,2.4,6–0,0.6,Genoa,1000,Stadio San Paolo,Juan Sacchi,Match Report,
2,Sun,2020-09-27,18:00 (21:30),Crotone,0.3,0–2,2.4,Milan,,Stadio Ezio Scida,Luca Pairetto,Match Report,
